title,platform,metascore,userscore,genre,date
Double Pug Switch,Switch,66.0,70.8,action,2020-10-22
Double Pug Switch,Xbox One,61.0,70.8,action,2020-10-22
Asterix & Obelix XXL Romastered,PlayStation 4,53.0,70.8,action,2020-10-22
Uppers,PC,60.0,70.8,action,2020-10-21
ScourgeBringer,PC,76.0,74.0,action,2020-10-21
ScourgeBringer,Xbox One,75.0,70.8,action,2020-10-21
ScourgeBringer,Switch,80.0,70.8,action,2020-10-21
DOOM Eternal: The Ancient Gods Part One,Xbox One,72.0,70.8,action,2020-10-20
DOOM Eternal: The Ancient Gods Part One,PC,79.0,70.8,action,2020-10-20
DOOM Eternal: The Ancient Gods Part One,PlayStation 4,76.0,68.0,action,2020-10-20
9 Monkeys of Shaolin,Xbox One,72.0,72.0,action,2020-10-16
9 Monkeys of Shaolin,PC,71.0,73.0,action,2020-10-16
9 Monkeys of Shaolin,Switch,69.0,70.8,action,2020-10-16
9 Monkeys of Shaolin,PlayStation 4,71.0,64.0,action,2020-10-16
Zoids Wild: Blast Unleashed,Switch,61.0,70.8,action,2020-10-16
TERROR SQUID,Switch,68.0,70.8,action,2020-10-15
HARDCORE MECHA,Switch,77.0,70.8,action,2020-10-15
Shantae: Risky's Revenge - Director's Cut,Switch,72.0,70.8,action,2020-10-15
Dustoff Z,Xbox One,66.0,70.8,action,2020-10-15
Foregone,Xbox One,80.0,70.8,action,2020-10-13
Foregone,Switch,70.0,72.0,action,2020-10-13
G.I. Joe: Operation Blackout,PlayStation 4,51.0,57.0,action,2020-10-13
G.I. Joe: Operation Blackout,Xbox One,56.0,55.0,action,2020-10-13
G.I. Joe: Operation Blackout,Switch,55.0,70.8,action,2020-10-13
Piofiore: Fated Memories,Switch,76.0,70.8,action,2020-10-08
Filament,Switch,84.0,70.8,action,2020-10-08
Neighbours back From Hell,Xbox One,63.0,70.8,action,2020-10-08
Neighbours back From Hell,PC,69.0,70.8,action,2020-10-08
Foregone,PlayStation 4,64.0,72.0,action,2020-10-05
Crash Bandicoot 4: It's About Time,PlayStation 4,85.0,70.8,action,2020-10-02
Crash Bandicoot 4: It's About Time,Xbox One,83.0,70.8,action,2020-10-02
Let's Sing Queen,Switch,70.0,70.8,action,2020-10-02
Let's Sing Queen,PlayStation 4,77.0,70.8,action,2020-10-02
Let's Sing Queen,Xbox One,81.0,70.8,action,2020-10-02
Super Mario Bros. 35,Switch,75.0,74.0,action,2020-10-01
Projection: First Light,PC,75.0,70.8,action,2020-09-29
Projection: First Light,Xbox One,65.0,70.8,action,2020-09-29
Spelunky 2,PC,91.0,66.0,action,2020-09-29
Bartlow's Dread Machine,PC,70.0,70.8,action,2020-09-29
Bartlow's Dread Machine,Xbox One,73.0,70.8,action,2020-09-29
Alwa's Legacy,Switch,80.0,70.8,action,2020-09-29
MindSeize,Switch,74.0,70.8,action,2020-09-29
Until You Fall,PlayStation 4,85.0,73.0,action,2020-09-29
Trollhunters: Defenders of Arcadia,Xbox One,54.0,70.8,action,2020-09-25
Serious Sam 4,PC,68.0,71.0,action,2020-09-24
Embracelet,Switch,81.0,70.8,action,2020-09-24
Embracelet,PC,85.0,70.8,action,2020-09-24
Ginga Force,PlayStation 4,75.0,70.8,action,2020-09-24
Kirby Fighters 2,Switch,65.0,70.8,action,2020-09-23
Halo: The Master Chief Collection - Halo 3: ODST,PC,91.0,70.8,action,2020-09-22
Georifters,Switch,61.0,70.8,action,2020-09-18
Crysis Remastered,PC,69.0,70.8,action,2020-09-18
Crysis Remastered,PlayStation 4,59.0,70.8,action,2020-09-18
Crysis Remastered,Xbox One,59.0,70.8,action,2020-09-18
Friday the 13th: Killer Puzzle,Xbox One,80.0,70.8,action,2020-09-18
Super Punch Patrol,Switch,75.0,70.8,action,2020-09-17
Ori and the Will of the Wisps,Switch,93.0,70.8,action,2020-09-17
Spelunky 2,PlayStation 4,87.0,70.8,action,2020-09-15
BPM: Bullets Per Minute,PC,73.0,70.8,action,2020-09-15
Fight Crab,Switch,70.0,73.0,action,2020-09-15
Bounty Battle,PC,72.3,70.8,action,2020-09-10
Tamarin,PC,72.3,72.0,action,2020-09-10
Tamarin,PlayStation 4,72.3,68.0,action,2020-09-10
Bake 'n Switch,Switch,55.0,70.8,action,2020-09-10
MO:Astray,Switch,81.0,70.8,action,2020-09-10
Redneck Ed: Astro Monsters Show,PC,53.0,70.8,action,2020-09-10
Bounty Battle,Switch,72.3,70.8,action,2020-09-10
Bounty Battle,Xbox One,72.3,70.8,action,2020-09-10
Bounty Battle,PlayStation 4,72.3,70.8,action,2020-09-10
Tin & Kuna,Xbox One,70.0,70.8,action,2020-09-10
Adventures of Pip,Switch,71.0,70.8,action,2020-09-10
Borderlands 3: Psycho Krieg and the Fantastic Fustercluck,PC,72.0,70.8,action,2020-09-10
AVICII Invector Encore Edition,Switch,81.0,70.8,action,2020-09-08
OkunoKA Madness,Xbox One,76.0,70.8,action,2020-09-08
OkunoKA Madness,Switch,82.0,70.8,action,2020-09-08
Party Hard 2,Xbox One,66.0,70.8,action,2020-09-08
Marvel's Avengers,PC,68.0,70.8,action,2020-09-04
Spellbreak,PC,79.0,70.8,action,2020-09-03
Spellbreak,PlayStation 4,72.0,70.8,action,2020-09-03
Spellbreak,Xbox One,78.0,70.8,action,2020-09-03
Spellbreak,Switch,71.0,70.8,action,2020-09-03
Spinch,Switch,69.0,70.8,action,2020-09-03
Connection Haunted,Switch,72.3,70.8,action,2020-09-03
Marvel's Avengers,PlayStation 4,67.0,70.8,action,2020-09-01
Marvel's Avengers,Xbox One,66.0,70.8,action,2020-09-01
Super Bomberman R Online,Stadia,80.0,70.8,action,2020-09-01
Double Kick Heroes,Xbox One,72.0,70.8,action,2020-08-28
Shing!,PC,52.0,70.8,action,2020-08-28
Jump Force: Deluxe Edition,Switch,50.0,73.0,action,2020-08-28
The Last Campfire,PC,80.0,70.8,action,2020-08-27
Struggling,PC,65.0,70.0,action,2020-08-27
Struggling,Switch,59.0,70.8,action,2020-08-27
Shing!,PlayStation 4,66.0,73.0,action,2020-08-27
The Last Campfire,Switch,83.0,74.0,action,2020-08-27
The Last Campfire,PlayStation 4,81.0,72.0,action,2020-08-27
The Last Campfire,Xbox One,86.0,70.8,action,2020-08-27
Yupitergrad,PC,68.0,70.8,action,2020-08-27
Witcheye,Switch,70.0,70.8,action,2020-08-27
SHEEPO,PC,75.0,70.8,action,2020-08-26
World of Tanks Blitz,Switch,68.0,70.8,action,2020-08-26
No Straight Roads,PlayStation 4,70.0,68.0,action,2020-08-25
No Straight Roads,PC,72.0,70.8,action,2020-08-25
No Straight Roads,Xbox One,69.0,70.8,action,2020-08-25
No Straight Roads,Switch,70.0,52.0,action,2020-08-25
Inmost,PC,76.0,70.8,action,2020-08-21
Inmost,Switch,78.0,70.8,action,2020-08-21
New Super Lucky's Tale,PlayStation 4,76.0,57.0,action,2020-08-21
New Super Lucky's Tale,Xbox One,80.0,64.0,action,2020-08-21
Battletoads,Xbox One,72.0,65.0,action,2020-08-20
Battletoads,PC,66.0,52.0,action,2020-08-20
Eternal Hope,PC,70.0,70.8,action,2020-08-20
Griefhelm,PC,57.0,68.0,action,2020-08-20
Gleamlight,Switch,72.3,70.8,action,2020-08-20
